Sale Date,Client ID,Sale ID,Item name,Batch #,Sales Notes,Location,Notes,Color,Size,Item price (excluding tax),Quantity,Subtotal (excluding tax),Discount %,Discount amount,Tax,Item Total,Total Paid w/ Payment Method,Payment Method
03/01/2025,100002649,3971,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (AMEX-Keyed)
03/01/2025,100002154,3965,Club set rental,---,,Golf - experience,,---,---,2,1,2,0,0,0.18,2.18,2.18,Credit card (AMEX-Keyed)
03/01/2025,100002154,3965,30 Mins Practice Credit,---,,Golf - experience,,---,---,8,1,8,0,0,0.72,8.72,8.72,Credit card (AMEX-Keyed)
03/01/2025,100002673,3975,30 Mins Practice Credit,---,,Golf - experience,,---,---,4,1,4,0,0,0.36,4.36,4.36,Credit card (AMEX-Keyed)
03/01/2025,100002673,3975,30 Mins Practice Credit,---,,Golf - experience,,---,---,4,1,4,0,0,0.36,4.36,4.36,Credit card (AMEX-Keyed)
03/01/2025,100002669,3953,30 Mins Practice Credit,---,,Golf - experience,,---,---,4,1,4,0,0,0.36,4.36,4.36,Credit card (Visa/MC-Keyed)
03/01/2025,100001963,3977,Mineral Water,---,,Golf - experience,,---,---,0.4,1,0.4,0,0,0.036,0.436,0.436,Credit card (Visa/MC-Keyed)
03/01/2025,100002566,3969,10 Lesson Pack  (Johnson Poh),---,,Golf - experience,,---,---,180,1,180,0,0,16.2,196.2,196.2,Credit card (Visa/MC-Keyed)
03/01/2025,100002679,3986,10 Lesson Pack (Kim On You),---,,Golf - experience,,---,---,180,1,180,0,0,16.2,196.2,196.2,Credit card (Visa/MC-Keyed)
03/01/2025,100002679,3986,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,2,3.2,2.592,31.392,31.392,Credit card (Visa/MC-Keyed)
03/01/2025,100002675,3980,60 Mins Practise,---,,Golf - experience,,---,---,8,1,8,0,0,0.72,8.72,8.72,Credit card (Visa/MC-Keyed)
03/01/2025,100002382,3981,30 Mins Practice Credit,---,,Golf - experience,,---,---,4,1,4,0,0,0.36,4.36,4.36,Credit card (Visa/MC-Keyed)
03/01/2025,100002668,3948,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (Visa/MC-Keyed)
03/01/2025,100002677,3983,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (Visa/MC-Keyed)
03/01/2025,100001570,3963,Golfzon 18 Holes - 1 Pax,---,,Golf - experience,,---,---,20,1,20,0,0,1.8,21.8,21.8,Credit card (Visa/MC-Keyed)
03/01/2025,100002154,3956,Golfzon 9 Holes - 3 Pax,---,,Golf - experience,,---,---,24,1,24,0,0,2.16,26.16,26.16,Credit card (Visa/MC-Keyed)
03/01/2025,100002154,3952,Golfzon 9 Holes - 1 Pax,---,,Golf - experience,,---,---,14,1,14,0,0,1.26,15.26,15.26,Credit card (Visa/MC-Keyed)
03/01/2025,100002154,3976,Golfzon 18 Holes - 2 Pax,---,,Golf - experience,,---,---,24,1,24,0,0,2.16,26.16,26.16,Credit card (Visa/MC-Keyed)
03/01/2025,100000904,3951,60 Mins Practise,---,,Golf - experience,,---,---,8,1,8,0,0,0.72,8.72,8.72,Credit card (Visa/MC-Keyed)
03/01/2025,100001925,3949,10 Lesson Pack (Jasper  Park),---,,Online Store,,---,---,180,1,180,0,0,16.2,196.2,196.2,Credit card (Visa/MC-Keyed)
03/01/2025,100002159,3974,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (Visa/MC-Keyed)
03/01/2025,100000624,3972,1 month storage,---,,Golf - experience,,---,---,6,1,6,0,0,0.54,6.54,6.54,Credit card (Visa/MC-Keyed)
03/01/2025,100002671,3966,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (Visa/MC-Keyed)
03/01/2025,100000598,3960,1 month storage,---,,Golf - experience,,---,---,6,1,6,0,0,0.54,6.54,6.54,Credit card (Visa/MC-Keyed)
03/01/2025,100001043,3955,Golfzon 18 Holes - 3 Pax,---,,Golf - experience,,---,---,36,1,36,0,0,3.24,39.24,39.24,Credit card (Visa/MC-Keyed)
03/01/2025,100002363,3962,30 Mins Practice Credit,---,,Golf - experience,,---,---,4,1,4,0,0,0.36,4.36,4.36,Credit card (Visa/MC-Keyed)
03/01/2025,100002670,3954,5 Semi Private (1:2 Lesson) w/ Kim On You,---,,Online Store,,---,---,252.00,1,252.00,0,0,22.68,274.68,274.68,Credit card (Visa/MC-Keyed)
03/01/2025,100000550,3961,10 Lesson Pack (Paul Finch),---,,Golf - experience,,---,---,180,1,180,0,0,16.2,196.2,196.2,Credit card (Visa/MC-Keyed)
03/01/2025,100001695,3985,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (Visa/MC-Keyed)
03/01/2025,100000710,3967,25 Practice Credits,---,,Golf - experience,,---,---,75,1,75,0,0,6.75,81.75,81.75,Credit card (Visa/MC-Keyed)
03/01/2025,100002676,3982,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (Visa/MC-Keyed)
03/01/2025,100001144,3979,10 Lesson Pack (Joey Poh.),---,,Golf - experience,,---,---,180,1,180,0,0,16.2,196.2,196.2,Credit card (Visa/MC-Keyed)
03/01/2025,100001607,3947,10 Lesson Pack (Jiali Khee.),---,,Online Store,,---,---,180,1,180,0,0,16.2,196.2,196.2,Credit card (Visa/MC-Keyed)
03/01/2025,100002672,3973,10 Practice Credits,---,,Golf - experience,,---,---,32,1,32,0,0,2.88,34.88,34.88,Credit card (Visa/MC-Keyed)
